participant_id,condition,theta_pre,theta_post,delta_theta,se_pre,se_post,eta_pre,eta_post,eta_consistency_pre,eta_consistency_post,manipulation_check
33e26f3d20bf,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.4980523747326064,0.6666666666666667,1.0,0.0,0.0,7
884c31c1f19f,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.531100637029352,0.6666666666666667,0.8,0.0,0.3999999999999999,5
855f7f283aaf,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.5006727716493558,0.6666666666666667,0.75,0.0,0.4999999999999999,5
6f00ba867c22,strong,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,7
df717e762358,strong,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,7
ad7a940fcb8f,strong,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.3333333333333333,0.0,0.0,5
bf506fca855d,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.5286180070063234,1.0,-0.5,0.0,1.0,6
95dd2c3af142,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5452859248549914,0.3333333333333333,1.0,0.0,0.0,6
a0e92a1cf7a4,strong,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,6
fe92e889cf4f,strong,0.0,1.5707963267948966,1.5707963267948966,0.0,0.4779047975869224,1.0,1.0,0.0,0.0,7
5b1220a115eb,strong,0.0,1.5707963267948966,1.5707963267948966,0.0,0.4938128129414937,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666667,7
87ca70509bd3,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5481536851899141,0.3333333333333333,1.0,0.0,0.0,7
6017d492fe7e,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.4939732316285032,0.6666666666666667,0.25000000000000006,0.0,0.5000000000000001,5
be305fbe2313,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5294173057316605,0.3333333333333333,-0.19999999999999996,0.0,1.6,5
3d4b7a2ba8a2,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5482927820426877,0.3333333333333333,1.0,0.0,0.0,5
312895d01e3a,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5269891468724183,0.6666666666666667,1.0,0.0,0.0,5
d51f59e0a37d,strong,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,5
abaeae262093,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5276644476118192,0.6666666666666667,0.0,0.0,2.0,7
c90d310b79e7,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.49199653447647784,1.0,0.75,0.0,0.4999999999999999,6
71002363f903,strong,0.0,1.5707963267948966,1.5707963267948966,0.0,0.4779332016240286,1.0,0.6666666666666666,0.0,0.6666666666666667,5
03dbc8d200e2,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.533218752373651,1.0,-0.39999999999999997,0.0,1.2,7
d1893648261e,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5393286778149415,0.6666666666666667,1.0,0.0,0.0,6
241498853e8d,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.4982771442865586,0.3333333333333333,1.0,0.0,0.0,7
9d441792c894,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.512790605084786,0.0,1.0,0.0,0.0,6
b10842e9fdbc,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.5136690677904012,0.0,1.0,0.0,0.0,7
81ff4d650e27,strong,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.3333333333333333,0.0,0.0,5
e0acdd49aa54,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.4881631360187589,0.6666666666666667,0.5,0.0,1.0,6
425e90fe4c34,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5388074168926176,1.0,0.6,0.0,0.7999999999999999,6
b271f5183164,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5327377176937846,0.6666666666666667,0.8,0.0,0.3999999999999999,7
cd1f6005cd07,strong,0.0,1.5707963267948966,1.5707963267948966,0.0,0.48958644962049,0.6666666666666667,0.6666666666666666,0.0,0.6666666666666667,5
c9420aaf6130,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.49866287311908064,0.6666666666666667,0.75,0.0,0.4999999999999999,6
7868db585e41,strong,0.0,1.5707963267948966,1.5707963267948966,0.0,0.48462966827140563,1.0,0.6666666666666666,0.0,0.6666666666666667,7
015fff8eddb0,strong,0.0,1.5707963267948966,1.5707963267948966,0.0,0.46812148889622446,0.6666666666666667,1.0,0.0,0.0,5
ec62d3e66412,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5284584998297787,0.6666666666666667,0.8,0.0,0.3999999999999999,7
d7fefba792e6,strong,0.0,1.5707963267948966,1.5707963267948966,0.0,0.4973438529491306,1.0,0.33333333333333337,0.0,1.3333333333333333,5
